id,t,size,duration,p_j,g_j,lr_j,p_wap,p_wag,n_j,p_sen,p_fem,lr_ij_sd
cz_po.CSSD,2013,200,3,CSSD,1,3,0.3181818181818182,0.11888111888111888,10,0.7,0.1,1.621585539750813
cz_po.KDU,1996,200,3,KDU,1,5.8,0.15625,0.09375,5,0.6,0.2,0.9780111180996036
cz_po.KDU,1998,200,5,KDU,0,5.8,0.5123287671232877,0.2493150684931507,15,0.6666666666666666,0.13333333333333333,1.684698847949746
cz_po.KDU,2002,200,5,KDU,1,5.8,0.33458646616541354,0.15037593984962405,18,0.6666666666666666,0.16666666666666666,1.8369240428534452
cz_po.KDU,2013,200,3,KDU,1,5.8,0.8615384615384616,0.4205128205128205,2,0,0,1.8587307852012782
cz_po.KSCM,1996,200,3,KSCM,0,0.7,0.24096385542168675,0.07228915662650602,7,0.5714285714285714,0.2857142857142857,2.4401641520457638
cz_po.KSCM,1998,200,5,KSCM,0,0.7,0.08450704225352113,0.07042253521126761,9,1,0.2222222222222222,1.322157752915856
cz_po.KSCM,2002,200,5,KSCM,0,0.7,0.14655172413793102,0.14224137931034483,16,0.375,0.3125,1.2148312950269615
cz_po.KSCM,2010,200,4,KSCM,0,0.7,0.02336448598130841,0.02336448598130841,16,0.8125,0.4375,1.07984184093557
cz_po.KSCM,2013,200,3,KSCM,0,0.7,0.04477611940298507,0.04477611940298507,10,0.9,0.4,0.9356064697413392
cz_po.ODA,1996,200,3,ODA,1,7.1,0.25,0,3,0.6666666666666666,0,0.360555127546399
cz_po.ODS,1996,200,3,ODS,1,7.4,0.25,0.12962962962962962,7,0.7142857142857143,0.42857142857142855,1.52525016963922
cz_po.ODS,1998,200,5,ODS,1,7.4,0.32597623089983024,0.21901528013582344,29,0.3448275862068966,0.1724137931034483,1.6159108076184665
cz_po.ODS,2002,200,5,ODS,0,7.4,0.034444444444444444,0.027777777777777776,23,0.7391304347826086,0.08695652173913043,0.8643792372978528
cz_po.ODS,2010,200,4,ODS,1,7.4,0.5457142857142857,0.11142857142857143,24,0.625,0.16666666666666666,1.6047879608242948
